,a(1.1),a(1.2),a(2.1),a(2.2),a(3.1),a(3.2),a_std,t(1.1),t(1.2),t(2.1),t(2.2),t(3.1),t(3.2),t_std,v(1.1.0),v(1.1.1),v(1.2.0),v(1.2.1),v(2.1.0),v(2.1.1),v(2.2.0),v(2.2.1),v(3.1.0),v(3.1.1),v(3.2.0),v(3.2.1),v_std,z_std,z_trans(1.1),z_trans(1.2),z_trans(2.1),z_trans(2.2),z_trans(3.1),z_trans(3.2),z(1.1),z(2.1),z(3.1),z(1.2),z(2.2),z(3.2)
0,4.956633307200731,2.7236442765234132,4.349981462071725,2.598218492360533,5.0891968277505875,2.82495995630885,0.5840540326064513,0.08793614783856772,0.25156595630422796,0.08717691191750213,0.24512391203273676,0.014013151890109127,0.2228051877125539,0.03736207515343358,5.54851085963053,5.574002073200289,4.923442039071195,5.615394031530987,5.300975829348383,4.732619541624818,6.033596241784593,4.781309038413588,5.046741359302237,4.771636155454015,5.226036988095398,5.039995482377175,1.1022762108340811,0.14608627374347358,-0.25480190505631917,-0.2873177763721748,-0.17989098101726583,-0.025666773931091135,-0.2661271269059944,-0.13579038579310226,0.43664194166063613,0.4551481429275847,0.4338581256621466,0.4286606462584227,0.49358365876155574,0.46610447093921764
1,5.076014379619908,2.595835334330328,4.394111847637314,2.6728429942358427,4.976288860465618,3.0629491856678412,0.5393612778881935,0.08646453732377406,0.24566612754700518,0.10880578087041526,0.2497676748720322,0.031821952183840846,0.23278984199116753,0.036175286996393004,5.246688104576264,5.3409279799660245,4.908240479975602,5.758759157298261,5.152508292568508,4.783799562967262,5.989485055800801,5.865421442522063,4.672570517753332,4.393739741390789,5.020626292703241,4.898609610275582,1.150473324740807,0.13897187607715886,-0.30163079877796334,-0.3223945868167981,-0.15359542245328853,0.02273342705681739,-0.24201287770104601,-0.052094390838234056,0.42515886935274044,0.4616764574388084,0.4397903684483236,0.4200922798020911,0.5056831120094991,0.4869793468057128
2,5.0396241223285445,2.5307537516986605,4.553732285089206,2.9037564888397736,5.217390738449192,3.0453464117092306,0.5467513949347684,0.09128075884875651,0.2485055970927383,0.08746943586273562,0.22791589933312198,0.04177198244294786,0.23020413099536907,0.03190226087069844,5.40683744019637,5.345419249802468,5.440922800497217,5.71268927751842,4.6031594838326075,4.942161356094837,6.225410794212647,5.431277627982496,4.334020845579667,4.653070357027685,5.653418701480942,5.3682821153066165,1.1214150112277808,0.1376288066691204,-0.3004032042876314,-0.35879469185432167,-0.17800410815116466,0.03348706043605975,-0.28766328945305886,-0.11268278440809056,0.42545891950869774,0.4556161048072225,0.4285760284956543,0.41125136833628784,0.5083709828669936,0.47185907400452665
3,4.7626884416138004,2.553347464309476,4.334808581903336,2.8219144656938777,5.2529401413312495,3.000386555393421,0.6006786513673132,0.08475862267917332,0.246731442694401,0.0915821522747967,0.2479824897394114,0.012784279218415339,0.23342521585877715,0.03353860640404508,5.273926425581761,5.567745670477303,5.282769885024376,5.857087653634009,4.806181491798139,4.645785853296166,6.498912767760442,5.457221280876207,4.7524043333907136,4.54655349385517,5.553343102943753,5.3295874029699055,1.1429772079450813,0.13758405851412403,-0.2400447958103626,-0.30854688556874255,-0.1493248451664435,0.04097320111736954,-0.241560803501078,-0.027464062489373192,0.4402753115390601,0.46273800171250334,0.4399017511689011,0.42346946718631795,0.5102418674794318,0.4931344159169459
4,4.9690453995266255,2.6107462304455704,4.416275417892159,3.0251651452058317,4.973946683771318,3.038674468858055,0.5406796560930529,0.09453007371361524,0.25026549604040615,0.0874947766109736,0.22815169630760046,0.03246556023946247,0.22942452151096884,0.03395990939697552,4.958813633499662,5.5062997870904065,4.875584479388242,5.856949262673182,4.781540679481418,4.814510018681633,6.200260372976348,5.560951968703037,4.2369470904176465,4.483046982305492,5.790619443567211,4.680301960177228,1.1180067533528706,0.13444671727641877,-0.25231041235112933,-0.3315105745177277,-0.15193094304191612,0.015269561010569704,-0.25385921674852496,-0.07522506890254954,0.4372549098220985,0.46209015897485906,0.43687384339071744,0.41787312256619885,0.5038173160826402,0.48120259618473366
5,4.963137936892005,2.592022336964697,4.313602353000436,2.882644126339758,5.012173751972463,3.2039762024229708,0.5773232499506868,0.08139490271374007,0.25004609398466116,0.10835874063607404,0.22431820401529745,0.030844298929267235,0.2175274956044398,0.03311037969490582,5.202993837041553,5.409099202295098,5.471315678935046,5.744794189484355,5.347163950053629,5.062154367605276,6.0077936513069075,4.953497403391489,4.381146441273282,5.160435446352133,5.630030560542046,5.406373168607201,1.0483028340208544,0.12571389372996236,-0.25970886947004174,-0.3281083220310671,-0.16196063025993385,0.03359800889464544,-0.2833426423875135,-0.01826855867504555,0.4354352758759386,0.4595981198191459,0.42963447397083276,0.4187009686088381,0.5083987121813274,0.49543298734685554
6,5.016885141268115,2.5123272038289164,4.265871041156919,3.0235071341304414,5.066683723066726,3.016050727015842,0.5759629973446099,0.08004341469110211,0.25291409988102026,0.08647892249889269,0.2321065464091723,0.049750087217094924,0.22134393496286298,0.03589240970133769,5.516980616641342,5.644760380494303,5.354784474716771,5.46656953535868,5.174227919497504,4.486852770971688,6.093927594385721,5.359179231324297,4.3780876611103965,4.697734356486801,5.347094427698529,4.996580481123356,1.0624891295971162,0.1226112234461573,-0.3062138928933265,-0.31758284766756495,-0.15949680524393325,-0.018401573363725415,-0.22355553575037396,-0.0898837502783455,0.4240391526541864,0.4602101149525401,0.4443427222219646,0.4212649390813056,0.4953997364693016,0.4775441789423291
7,5.033660064129191,2.774820868056774,4.3119891554687655,2.7748913814103853,4.877910607472698,2.9034227721338466,0.5880586217992883,0.09282795171018626,0.2556761184037621,0.09943947744166262,0.23085089199458295,0.016516341112727054,0.21888876477158045,0.032403232230414934,5.315704027170357,5.581672270532769,5.448105483294905,5.801785527992721,5.225682313811603,4.5817360296280505,6.524288951496847,5.3529246682608775,4.756077886756887,5.247509766435036,5.089710856218281,5.071496776742017,1.0384419091093844,0.11392191723367195,-0.23026696863136734,-0.3176812651970633,-0.12675633156255595,0.024422816267269457,-0.1783215206234326,-0.07953306285293928,0.4426862791914479,0.46835327853165676,0.4555373780793186,0.4212409449957935,0.5061054005937979,0.48012720864109215
8,5.263738603383072,2.792456439916736,4.4172956946812745,2.913394504883786,5.1640554715161455,2.8529753664760618,0.6757721302023287,0.08026733022102894,0.2525892750655195,0.10835460620826426,0.2346958384033143,0.024257817780300145,0.23090123715364397,0.03614915293061819,5.586365759984752,5.473470120749134,6.077526393785934,5.415532608572679,5.166105440081789,4.763191491646904,6.494236316749198,5.59886887830145,4.577442055232238,4.743820499600923,5.2449255896554945,5.449021153379772,1.034360464669016,0.11045549252070581,-0.27991319137807963,-0.2870796968501622,-0.18362386657668756,-0.0468558218126386,-0.21441054319224068,-0.11620273752393338,0.4304750584794362,0.454222586980531,0.44660177570155446,0.4287189554700807,0.4882881872109926,0.4709819610055021
9,5.1834371634983585,2.782919796337783,4.4266746604166896,2.763926470033928,5.020177526509952,2.7522009665298457,0.5939858044388069,0.08637803541321246,0.2545251739301812,0.09946702456381781,0.23933572055236493,0.007909794259273399,0.2251911718869402,0.0330500206859473,5.342646603326726,5.405201807250289,5.700134797236576,6.279682512467655,5.554697299553686,4.815304615701452,6.464898460199104,5.423164796521077,4.942051412487981,5.08589413385889,4.751606925622233,4.842250865309985,1.1378845958349895,0.1093270169707311,-0.26518449209046285,-0.2893906787334708,-0.16084109260210397,-0.031361572856608115,-0.17250494288604876,-0.10788031308423962,0.4340896749960958,0.45987618934737506,0.4569803927016502,0.42815304554262557,0.4921602493397365,0.4730560481678847
