,a,a_std,t,t_std,v(0),v(1),v_std,z_std,z_trans,z,v_bias
950,1.7770063317506652,0.3762620117730676,0.2632669538842363,0.04871234643127706,-1.565061898243316,4.406534143298471,0.7873853487279481,0.2774319349192973,-0.712851473670292,0.32896907517239227,2.8414722450551544
951,1.6320811495578658,0.37037500378095184,0.26823829898806967,0.028242649868138486,-1.3360666228601965,4.761378159580675,0.7756567234048111,0.3320579177260873,-0.6593711512825166,0.3408808878342913,3.425311536720478
952,1.6243802980177722,0.377117706697701,0.28160680332164884,0.040422648437205874,-1.1986450908761472,4.815577712203298,0.8180240636303542,0.30152861258943847,-0.8175176037998669,0.3062908576333439,3.616932621327151
953,1.5971601327127143,0.29122457117975675,0.2672615193873444,0.03828406951410312,-1.2147980675450778,4.714229451596648,0.8046089558321257,0.29694343771301096,-0.8444980124802458,0.3005882971046322,3.4994313840515696
954,1.6390614520894253,0.2888221199743586,0.2718000948287221,0.027983193738981612,-1.4349456912369165,4.660288388761304,0.7610618397869473,0.3203940024966805,-0.7938980434728088,0.3113322973251233,3.225342697524387
955,1.6579852532977597,0.409128645919124,0.2743660309521631,0.03209477288531784,-1.375891945591522,4.639179329910803,0.7596922999269511,0.30976584417915193,-0.8556201534121345,0.29825523262811604,3.2632873843192813
956,1.813220911381929,0.447299829489338,0.27016059687155186,0.029664620640414592,-1.3286274662668336,4.58056454519331,0.7773158819774625,0.29974693136408403,-0.7302002223587877,0.3251507915371449,3.2519370789264763
957,1.489265779683578,0.43048849819298307,0.2770973254999456,0.026819796405565234,-1.1868777826083818,4.737239744198226,0.8933348664074411,0.30060592695165567,-0.7141598045098443,0.32868032785586354,3.5503619615898447
958,1.6929409646805282,0.38220853773789354,0.2814458218546066,0.02630481345563722,-1.2544413420985552,4.654962472714386,0.9853075608816028,0.28823414779757234,-0.765059338136558,0.3175488384067692,3.400521130615831
959,1.6709192752602056,0.4195998701247282,0.2762300986630448,0.03808832298627252,-1.3481026399915959,4.734374131032071,0.6879897061845022,0.25649823177117276,-0.708778115170206,0.32986888826546407,3.3862714910404756
960,1.6604211844761065,0.2768387743999464,0.27235092130862004,0.03555039199270706,-1.312906384585967,4.747364118292729,0.7424736905494649,0.3110091014304714,-0.8163412895006524,0.30654085403004605,3.4344577337067617
961,1.6322934322235267,0.25940926175233997,0.27940571701982675,0.03246476171753625,-1.552189640288866,4.803487959992812,0.8837266065057177,0.30375347677228526,-0.859413556130135,0.2974618851468802,3.2512983197039462
962,1.5922893640536424,0.4347743851686141,0.2771180575576078,0.0313313750523692,-1.313021308917907,4.5998323235465675,0.9549244162757705,0.307826308031884,-0.8367886000209952,0.3022115727209698,3.28681101462866
963,1.6303783093908166,0.38489074191917155,0.28557920786833074,0.037361911373881465,-1.3516085837095568,4.741368112092331,0.6535284557919327,0.32233219890030296,-0.8221520324796326,0.30530703417507493,3.3897595283827746
964,1.7515098036068475,0.34810736103836676,0.26685605927074446,0.028125376719147905,-1.3577539478489362,4.751422903922106,0.6686945157076886,0.29797417194862275,-0.8078267439671712,0.3083537966325506,3.39366895607317
965,1.6051414615074382,0.3956584889355126,0.27676021564676234,0.04494600812872809,-1.32626692839004,4.83462687250874,0.8590485771911706,0.26405862019392967,-0.7895307222052136,0.3122694413402831,3.5083599441187
966,1.6617605653090164,0.2924443928708047,0.265869914437267,0.04177523527006443,-1.2093903551950218,4.532597993811552,0.8265352615492988,0.2212222907749215,-0.8126994603446105,0.3073155555704212,3.3232076386165303
967,1.683154911789012,0.33381229371536536,0.2754590308057212,0.03309014428521234,-1.4043196961012374,4.858950682320828,0.6947899826856201,0.29633231659104853,-0.7883508695191112,0.3125228793493257,3.454630986219591
968,1.5918989186280394,0.30084555237276245,0.27329010425926714,0.027797022123911823,-1.4199442428736495,4.922165634717464,0.7657953042950862,0.29659148672911045,-0.7800914188742915,0.31430018353573247,3.5022213918438148
969,1.643211521135251,0.4401150473026162,0.27397763534348823,0.03294967624327973,-1.1902399096374419,4.801418468372026,0.91679019719619,0.30435312228012423,-0.730578192592849,0.32506785985925174,3.6111785587345837
970,1.649655273796722,0.35935914853758477,0.28410003360332015,0.03817642117343789,-1.6668705762690568,5.035174446438404,0.7502641256022223,0.23189761438422982,-0.762245250178701,0.3181589967095848,3.3683038701693473
971,1.6976898744175135,0.363936685142807,0.26198897007893845,0.0385717665704801,-1.2259549690519627,4.96391429516295,0.7988992609673615,0.2738925580048359,-0.8386939824766932,0.30180991765814447,3.737959326110987
972,1.5852604363414466,0.33459651232559007,0.2665835105517632,0.04107758679343486,-1.3408699594601483,5.1433970179645625,0.8074340141808136,0.2835978269807496,-0.8538330929166469,0.2986293974881562,3.802527058504414
973,1.6710837716816458,0.33972510669121686,0.2631072236150243,0.033904085003567654,-1.1847970375686558,4.766110173133455,0.7509905834412511,0.27983186970341756,-0.6513806373988594,0.3426784813223869,3.5813131355647996
974,1.6782437400161496,0.39778541652916033,0.2670115969313652,0.028744673248173327,-1.1003754471906462,4.774632482602291,0.8216522528154132,0.266359921007978,-0.6734417725679014,0.3377265992443406,3.674257035411645
975,1.6097410069431886,0.43237807090693126,0.27905060935737364,0.03363182707063843,-1.2647739393772106,4.945849322015778,0.6976878397041207,0.3001294880542603,-0.6673002229649903,0.33910162937538013,3.681075382638568
976,1.7056519240203178,0.41970818954073896,0.2700019696939731,0.032413122831782076,-1.4783807432264058,4.886584867679331,0.8811531895445195,0.2859397085855658,-0.7885448715444681,0.3124811990783834,3.4082041244529253
977,1.558208546082301,0.31853440024866797,0.2762093954663109,0.038750004966651326,-1.2207389508871858,4.8389224625223815,0.8593299771903657,0.2825583077158591,-0.7636504956385302,0.31785422933020036,3.6181835116351957
978,1.8029814573261418,0.5055865728804307,0.27845373130324413,0.029358355443584453,-1.707270081729425,4.812991504438515,0.7019374396536191,0.33286761689617805,-0.7679186729678871,0.31692951097417027,3.10572142270909
979,1.4878630684082592,0.43518591540921947,0.2799074547186192,0.0379497581465698,-1.0415053070407914,4.924302178862743,0.8080494025631513,0.22893629199178492,-0.7692017333442631,0.31665181266383824,3.882796871821952
980,1.9411850487913986,0.41155138477969694,0.2757979277765527,0.036429790850915,-1.1581299217154446,4.7172160731644555,0.7215252354432138,0.28938863032160445,-0.8184036284319125,0.30610263030098617,3.559086151449011
