,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.932593155813981,0.4133930511759452,2.0780700695791756,2.71368670866779,2.9703825170326,3.207030868405174,3.6263790947886942,0.018644068477013352
a_std,1.54712131521148,0.3836729115479254,0.9999334727800275,1.281067292352214,1.4838287366889875,1.736282725777503,2.5422810613832922,0.022923193471159096
a_subj.302,2.3138101534897206,0.20356663942436445,1.9948526478284636,2.1520816652735344,2.3087083322753092,2.450329700657964,2.7531728210473667,0.019345650338701576
a_subj.303,2.6295123155024585,0.3136619421474334,2.0222585603493766,2.3765568794771017,2.6473638521874374,2.870627766550076,3.2160705749141845,0.03068923359914772
a_subj.304,4.451723475812927,0.44900021605492085,3.802356703540443,4.107864749617652,4.353161266025547,4.749008286686642,5.527251341574854,0.04402146902158024
a_subj.305,2.9386076449702214,0.39975083777030335,2.2943396891671,2.574506103250887,2.919950710435188,3.241972409253535,3.7134561240939576,0.03923836771403848
a_subj.307,2.0874366362970673,0.24413029342039422,1.6614623241843212,1.9064617939685886,2.0476479071410507,2.2439356147047675,2.610415983258955,0.023819702412708223
a_subj.308,1.6509954831259581,0.11289507800986225,1.4550255656304927,1.5717702175891801,1.645016200603864,1.7212249529729111,1.9176566257005498,0.009719456737177678
a_subj.309,1.4903740658111544,0.15535830640634832,1.2224466865626111,1.3763878005845558,1.4739582260578297,1.5793728040310158,1.8709363126866292,0.014800930880435293
a_subj.310,3.9901575867694574,0.42396177644443567,3.123101419301161,3.6890167544348254,3.9969631140945134,4.271195076231616,4.83654549631898,0.041081747247505566
a_subj.311,5.829954837358715,0.8423946747058313,4.296553810474598,5.116382752198302,5.873155843167579,6.623110169902861,7.1245175003758066,0.08379118809135212
a_subj.312,3.0870766462912043,0.2768648715614746,2.566513300749677,2.905921205041616,3.0594573067796973,3.2707422171668514,3.64007110627791,0.026680286158680195
