,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(1),4.910146612375167,0.2580504277420142,4.41854738671358,4.740232210747409,4.909328381332225,5.086575937533712,5.416823354621145,0.012540753690378659
a(2),2.9897556012386,0.2613556910537356,2.4748849250367835,2.808574225012371,2.9948025456104475,3.1585732842719976,3.4954587368608534,0.011870336578111299
a_std,1.1542039217682167,0.1534816951455146,0.9028691234285476,1.0486046763715988,1.1409651536983691,1.2397061784058772,1.5176701357495241,0.009369476373916427
a_subj(1).1,4.389945883882065,0.4941527386961234,3.5756339719074797,3.9747376995472883,4.40495147166686,4.684878796703214,5.488910228625372,0.0484253569365267
a_subj(1).2,4.126544137589692,0.3470904184848187,3.525473576553395,3.8694313022202937,4.138253082422323,4.331882080775509,4.8377877793545805,0.03321391717416083
a_subj(1).3,5.879097826100211,0.6278860248949026,4.941538852226633,5.432193214574611,5.720894504540932,6.212155108904893,7.2649050516918106,0.061953235967227585
a_subj(1).4,4.838091484962409,0.4601942244915249,4.077451855925534,4.540013745520149,4.776873661880473,5.0622764209257465,6.009949059101071,0.04488489913341172
a_subj(1).6,5.078723030092538,0.7607564807770468,3.821217003068241,4.533875423587669,4.984484345699517,5.847480374216472,6.354643550863547,0.0754777533535225
a_subj(1).7,3.2838113339229276,0.3747321250695794,2.7303578688043073,3.0168372080908483,3.1970062418973364,3.4831222182207493,4.283563402945958,0.03611987509556043
a_subj(1).8,4.1598705052293266,0.6980001494677199,2.763470291554203,3.666897198733243,4.172957162419232,4.6191509233683306,5.554505028224083,0.06912519766256102
a_subj(1).9,4.582538697140783,0.2935662342835435,4.042238617414226,4.364983273932432,4.582072404517665,4.796973442021755,5.133229174868492,0.026469759665779708
a_subj(1).10,5.924672663796066,0.3087679754627396,5.3704404530136385,5.697716945881223,5.8944779748060485,6.172244619754842,6.520375279660989,0.02814519628392815
a_subj(1).11,5.356535156076072,0.45422417646976104,4.538812893359519,4.98001415137987,5.3975988937695645,5.6889638864393355,6.197841142876422,0.04433574453751747
a_subj(1).12,5.924410573873873,0.4994191473555383,5.043181666652878,5.54360339520057,5.849489669427689,6.398390179861748,6.783229320908852,0.04871462327576515
a_subj(1).13,6.130363984084765,0.5710009934698588,4.910669376577121,5.7729342789286076,6.146814325879784,6.563510627353378,7.148845170155061,0.0558155948460784
a_subj(1).14,6.010227834400409,0.5187152784133585,5.09811382085805,5.622014815704995,5.967258842422493,6.378731061507919,7.09375625812465,0.05029828226471593
a_subj(1).15,2.959337706010334,0.4724170095438732,2.23347275804566,2.591461415186161,2.9128782066851806,3.2716316592201995,3.961219343157231,0.04634379647423193
a_subj(1).16,4.681944278312675,0.6225461669525499,3.6260896573923462,4.185889963254802,4.680614495992564,5.150566465602588,5.876061671894939,0.06119284087551904
a_subj(1).17,4.656972680803229,0.6024698083783243,3.597404696119592,4.20398397449795,4.603787302170608,5.023000286037274,6.088401154831049,0.05943357202200657
a_subj(1).18,5.069923954051788,0.4021467492741222,4.224586847894782,4.809433278819946,5.08705372959309,5.331658396010892,5.820023454911409,0.03852987265025934
a_subj(1).19,4.0630530579764566,0.5665123548671628,3.1969692708330943,3.704452518259291,3.924863529275115,4.316240134403544,5.4885718134100125,0.05560030091678784
