,a(1),a(2),a_std,t(1),t(2),t_std,v(1.0),v(1.1),v(2.0),v(2.1),v_std,z_std,z_trans(1),z_trans(2),z(1),z(2)
0,4.628171312286581,2.748705324009757,1.3431580721564884,0.0954576393542708,0.2238749701745169,0.06520883527238278,5.0188119360761325,4.886074092065027,5.938832393053934,4.914929412441065,1.1227207739899252,0.16204273349463283,-0.20953919164535229,-0.1303149626389512,0.4478060344330588,0.4674672854995503
1,4.629394763881654,2.3781000924475193,1.3530351650777666,0.07132060184554603,0.22534594095439187,0.05369548249165098,5.018482799902226,5.072891781252315,5.856752472918552,5.9043321552467685,1.0988861021051481,0.15264518269670357,-0.17708139992834016,-0.09730417858804831,0.45584497354889014,0.47569313065618873
2,4.655826663912449,2.5274749720738043,1.3522147795374786,0.03189492369054134,0.23300027501898798,0.07315279130498227,5.669620111322159,4.91728003426086,6.357152700559768,5.515131560543135,1.175641584591758,0.13450745450546855,-0.2124258615884614,-0.08008920136229197,0.44709233886831357,0.4799883951860797
3,5.08382752701719,3.0339140300724274,0.8715952573372647,0.029535083571424342,0.22934530343921483,0.07075044373925873,5.5368093362199255,5.322915894966557,5.680656819813789,5.358558225097453,1.2960365053128307,0.17741969296106386,-0.19400830888622328,-0.08143331321725882,0.4516494840512083,0.4796529145653979
4,5.07172291672121,3.012865461285764,0.8914865601534361,0.08436517595182011,0.2333722065106336,0.0735858902454318,5.327193068161109,4.932941560288125,5.957977945230174,5.179483190142726,1.3682012081245327,0.12268566037286756,-0.1920014734877494,-0.05613067942240553,0.45214654944062677,0.4859710133236108
5,4.958934843949308,3.0437075330852803,1.351945572705038,0.09598544527875005,0.23669447917620628,0.04870568526273659,5.6679646174735545,4.630269200128448,6.151897072415581,5.419401665862389,1.2873581500739264,0.14606056178633808,-0.16049711733776528,-0.07235088537538314,0.45996163056912276,0.48192016476987903
6,4.889037063445682,3.075780980374514,0.8421837452453473,0.08947717890878884,0.23373208471517146,0.04948546172079082,5.127510838272662,5.204421152873664,5.8195089525673716,5.326766012019355,1.3019086202871488,0.1295504269209523,-0.1874486962168861,-0.06632326987006361,0.45327456192084986,0.4834252578021255
7,4.7299654856236195,3.0219889150146004,1.0776913071227776,0.06584842579351738,0.23869956344147006,0.05826049459639891,4.743954371043835,5.104661573784042,6.205593303869257,5.383195394701464,1.1774371701444384,0.21814429532541701,-0.19787320210564563,-0.07141589544302035,0.4506924760139796,0.48215361055231665
8,4.6185869398820385,2.761533530169796,1.0867097644425638,0.08244948772884311,0.23937555934790405,0.06641662077755836,5.013509338134276,5.101393531725068,5.9721675034775945,5.430346240938098,1.2560103795113529,0.21603228524504295,-0.20151348888507423,-0.0481541550341959,0.44979141742977385,0.4879637869718495
9,4.599358142445029,3.014692570096969,1.0102103183801798,0.08506714382190547,0.2278219067146257,0.05083308299391888,4.927135259064156,5.698034207016228,6.129795807139094,5.31060912774554,1.277289775253721,0.19182627749595038,-0.1282101062594314,-0.10562421097421267,0.4679913075515972,0.47361846976828337
10,4.800453765206309,2.9716081212311733,1.0755599733026486,0.08417812091917085,0.2269843770815751,0.05203810887083499,5.385366585884366,4.744009911094693,5.985742931078915,5.505813115094984,1.3105933813326238,0.19938418609385555,-0.20692292370185858,-0.11753184920142148,0.4484530621402939,0.47065081508053747
11,4.888434127582359,3.0889215813687514,1.1035087074288266,0.049127895595937866,0.22936900709330307,0.06559730940630668,5.434614142184887,4.961836406530586,6.084862857989924,5.845787280076902,1.4177109877250322,0.1899434493423428,-0.16066292034775068,-0.13509001201112472,0.45992044588412606,0.46627876385095707
12,4.595885618142957,2.8231270609530474,0.9776626064803231,0.07269203459559102,0.22350097742177266,0.06814114298200137,5.134807349387644,4.696866057087004,6.194475717151372,5.318881706301331,1.2386638601371889,0.16690099202826147,-0.22703649243454216,-0.10608415031055651,0.4434834334705828,0.4735038064384747
13,4.582573223217997,3.011128052285863,1.1745251811084088,0.027434786332581396,0.22933173611353733,0.08691659791821212,5.2368208645673295,5.1824503043115815,6.214510022136764,4.997398326922537,1.3816884184000902,0.17441099632406426,-0.21821047395961796,-0.10171771313678471,0.4456628196726496,0.4745924745048732
