,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(1.1),4.874321502690927,0.2577699603374823,4.422884287063644,4.679063718593594,4.868018560940178,5.044116723815054,5.423251349816672,0.02228454694153747
a(1.2),2.778796557872319,0.1903943399962973,2.423405813139235,2.647249005146685,2.7817587868453657,2.919689688559463,3.140514679449453,0.014031533168846347
a(2.1),4.607461648798377,0.32659334994759426,3.9423923858914343,4.385123076611911,4.612212656135449,4.829406755200657,5.26019498649381,0.029832339345378118
a(2.2),2.5613634954341222,0.1801615243151807,2.230811976261469,2.442418586443365,2.549811764092975,2.670084300028442,2.947938023111502,0.012048654260267858
a(3.1),5.050711384269431,0.34905490807032646,4.371779807953232,4.798872578783094,5.047422748008281,5.312138672914034,5.694716272633548,0.031012720446601742
a(3.2),2.7192883625706434,0.2388310320718665,2.2489414843347966,2.5599137248283954,2.7221336928920388,2.877224236727251,3.195963400733552,0.01758655061155521
a_std,0.6578620426822465,0.05927443943931776,0.5475260414752892,0.6156868417283924,0.6550152096291083,0.6968395809867212,0.7759910486764631,0.004232169317153532
a_subj(1.1).1,4.5787905985480615,0.3267381444999715,4.025768839139124,4.33334600807908,4.547330383065263,4.817119154957681,5.252317919116765,0.030211701758798892
a_subj(1.1).2,4.267163770217068,0.3062683222982792,3.6694869456768244,4.056295305543142,4.272003450211628,4.500771664359655,4.835614355436135,0.028651813376510293
a_subj(1.1).3,5.257469496434418,0.4905468508233243,4.366135075329911,4.917528555501307,5.2200651415004975,5.55133119077067,6.277045428104308,0.045959917869042535
a_subj(1.1).4,4.981461507058442,0.5378129830099724,4.016238308930229,4.598006569494624,4.924697515808305,5.371583064009511,6.046975099457878,0.05145012372773542
a_subj(1.1).6,4.669570882948256,0.5612798531213781,3.5282683916794313,4.323771001570994,4.6439352271190035,5.02108910390739,5.758097314522739,0.0479512872373002
a_subj(1.1).7,4.28152053559247,0.5169951332556907,3.3681735478211516,3.903655436118097,4.2486786814369815,4.703899919330375,5.197038496467467,0.049313768049313804
a_subj(1.1).8,4.751108946253887,0.5403244305514904,3.7811367863861194,4.3830876484592425,4.721981785685229,5.114632201230172,5.858660144143403,0.05128384584505654
a_subj(1.1).9,4.489499990920479,0.49196692184084395,3.565332692459286,4.167061408624991,4.461116821069706,4.79519248074359,5.515338346960077,0.039441942117841404
a_subj(1.1).10,5.427734719254857,0.4893790685765221,4.630925563966292,5.070628074675738,5.342566557505774,5.736037802145463,6.4403311417395175,0.046263334623167764
a_subj(1.1).11,5.221869442363062,0.4981378230430874,4.325223363271098,4.836355171763531,5.223063308151552,5.601203746416455,6.126829933973114,0.04854424895457811
a_subj(1.1).12,5.337290542425235,0.5218570031578327,4.412314893522299,4.9761295642544585,5.307860513427361,5.658790004236781,6.45579997745054,0.04899881132910463
a_subj(1.1).13,5.565016934192814,0.43585138903585113,4.811524000583453,5.244903445810884,5.525285870008331,5.8555334084642725,6.438213102234949,0.04231731429478972
