,a(1),a(2),a(3),a_std,t(1),t(2),t(3),t_std,v(1.0),v(1.1),v(2.0),v(2.1),v(3.0),v(3.1),v_std,z_std,z_trans(1),z_trans(2),z_trans(3),z(1),z(2),z(3),v_bias(1),v_bias(2),v_bias(3)
0,2.352814601042742,2.477236546509573,2.388790252948949,0.6428211055443213,0.26267393816786383,0.24418124374275235,0.251708803338345,0.03817098765856149,6.516737285193148,5.27358212882769,4.851161675892656,5.350834319062923,4.979399706700997,5.49631805487574,1.595406513606102,0.2924995919916114,-0.27411636558536606,-0.17215502275439518,-0.1725570322464312,0.43189681372953487,0.45706722644832004,0.4569674667916046,-1.2431551563654581,0.4996726431702667,0.5169183481747428
1,2.632074111543004,2.234799231472931,2.395841785722828,0.6736080950024615,0.2616170996602671,0.2562780398172162,0.2536554943655879,0.030706949145519143,5.941239814272679,5.50473001817738,4.68891106618016,4.849120800557519,4.456855958071519,4.924353891319132,1.5013887493752986,0.29880326183148276,-0.10676269828694164,-0.2217070506042813,-0.08026606716987128,0.4733346488655775,0.44479916422538524,0.4799442497189937,-0.43650979609529905,0.16020973437735897,0.46749793324761324
2,2.5377828897584522,2.2563459932749126,2.464593435150335,0.6322339030906259,0.2510198616849742,0.2563889090646528,0.2597955571380936,0.04505020297701909,6.232620392386128,5.086742933073927,5.149844316666807,4.85077070755962,4.453392332736102,5.071187221927201,1.4109992601189982,0.2917250790356883,-0.10986213212496736,-0.1812210235486178,-0.24783217568724691,0.4725620587015842,0.45481832765049734,0.43835714628306044,-1.1458774593122012,-0.2990736091071877,0.6177948891910994
3,2.7346133660161334,2.375681745073591,2.5500706410945537,0.5618506157716314,0.2678812171542295,0.2514585835210241,0.24595176763477378,0.04505284510500308,6.561732252550252,5.111031117851096,4.265888332559919,5.219522927622885,4.009115622535644,4.211622760087146,1.3986753362737914,0.29334505668372407,-0.17745783589795075,-0.23669336906820243,-0.1215603088117837,0.4557516000341487,0.4411013781313739,0.46964729019685636,-1.4507011346991563,0.9536345950629661,0.2025071375515024
4,2.731937008239053,2.4461628492267584,2.472266819451765,0.83220430337613,0.26884071737609544,0.2549595285447013,0.2669782264610935,0.03729827058697149,6.89232286392729,4.943934235141878,5.077211676182866,4.87300718406763,4.036725780293522,4.918993620747377,1.2614672417073078,0.2996863643301434,-0.09886875720894131,-0.1305614188519216,-0.1819433304033221,0.47530292531051516,0.46740593278225123,0.45463923129473,-1.9483886287854117,-0.2042044921152364,0.8822678404538546
5,2.7319325653853808,2.493242535983023,2.3173027586379944,0.8572190158347619,0.25244007251557465,0.25725917662670617,0.2592306671951146,0.03992600557391665,6.326472937744397,5.562351392724181,4.861995355693558,5.030047028105638,4.062855718289187,5.052787671613286,1.2494802951312265,0.3130019173810987,-0.04969668922274584,-0.11065019809762167,-0.19585938326465638,0.4875783841242067,0.47236563975381257,0.4511910840050579,-0.7641215450202159,0.16805167241208085,0.9899319533240991
6,2.4445396544973543,2.088697110301536,2.5718546048300777,0.6088649727625467,0.2548872386407454,0.2522096981916237,0.2470002817981128,0.03847141629273017,5.696496075025848,5.404624450831625,5.35779580869141,4.575233976178122,4.213082339434736,4.555581626636048,1.2886138967732463,0.2935378131867732,-0.16016210243107254,-0.1987056225843159,-0.09687665931661495,0.4600448483585649,0.4504864031716273,0.4757997589918657,-0.29187162419422386,-0.7825618325132879,0.34249928720131173
7,2.779521007139761,2.1299289905446646,2.4554232256769217,0.6659121243674112,0.24641829720793415,0.2620561436643356,0.25296627900593494,0.03583519362005773,5.4154445448372845,5.129398489136962,5.516029471806109,4.819086997219402,4.494397211804862,4.270510306106672,1.3054335647984951,0.2706526294593141,-0.11203449026304656,-0.23692458113414977,-0.17661897811877247,0.47202063709089226,0.4410443779770491,0.45595967977309143,-0.2860460557003224,-0.6969424745867077,-0.2238869056981896
8,2.7087252775386848,2.612672642115009,2.4628591995741798,0.7821962006833865,0.2637324260147608,0.2561044594454998,0.2483338346851387,0.035379559664270706,5.982466634747933,5.373708914119717,5.252305354135702,5.179992946922889,5.239062576564306,4.410985013839967,1.426330299841443,0.29087973482466833,-0.03958276585125972,-0.2034224084002671,-0.14509982987380363,0.49010560037839646,0.44931904516710564,0.4637885531138344,-0.6087577206282155,-0.07231240721281296,-0.8280775627243395
9,2.4391290496486047,1.9967210979548913,2.5668165781785337,0.575095928059762,0.2529811481956687,0.2538580549284475,0.2540838262556449,0.0330364194170363,6.0961870545305885,5.657953996149029,5.294059079352974,5.031362567437799,5.355852326744033,5.192737814858687,1.1585923141009786,0.25432573825590693,-0.09422127249800197,-0.11105959931862469,-0.17225427056798767,0.4764620927378568,0.47226360324684397,0.4570425975357427,-0.43823305838155946,-0.2626965119151752,-0.16311451188534587
10,2.4351251177916318,2.2912838444191976,2.5651808445921147,0.758016639070567,0.2504471284854895,0.26382395359521404,0.25988755588435497,0.036012162185391286,6.38209093765171,5.642476986109816,5.33476649817835,5.098284971723764,5.21804661177283,4.828160317988036,1.4026314002505413,0.2252124641083657,-0.055880634582999536,-0.09208083281116625,-0.23267216535240884,0.4860334755403048,0.4769960434825439,0.4420929628270712,-0.7396139515418936,-0.2364815264545861,-0.38988629378479356
11,2.6811122107004226,2.3234786159809966,2.6203508413615646,0.7321811091330477,0.2596543622588606,0.2711755784107437,0.24824837599012237,0.04134016011844029,6.655042833360748,5.167866358714344,5.140570843643108,5.052010340262299,4.19650419279694,4.952904459455431,1.3527868168230621,0.224521400392258,-0.12490398945576284,-0.17833284372430816,-0.11230554336429377,0.4688145358172578,0.455534569690432,0.4719530865207873,-1.4871764746464047,-0.08856050338080834,0.756400266658491
12,2.5291682931968493,2.186935136060841,2.2862080655189922,0.5904223601897015,0.2582514713601342,0.24327417847487406,0.2486506832527938,0.0330300608655668,6.294516138257102,5.3925333072648,5.188265642404095,5.125299470796989,4.69702842186088,4.762967911005379,1.2871949754626302,0.23526624406886315,-0.046133192730430386,-0.2470114785045192,-0.17074980821219604,0.4884687468812729,0.43855921227079897,0.45741596094172515,-0.9019828309923028,-0.06296617160710571,0.06593948914449932
13,2.3437076102187886,2.3438069624998383,2.4726912651363153,0.6201529861727921,0.2553786559225215,0.27019616131199276,0.25122916514571425,0.036929975335855805,6.64175162761356,5.379981785156868,4.5823028831100645,4.843191386085381,3.91468391368541,5.012571319199169,1.3174150650359837,0.2368217171063185,-0.07718852811516125,-0.19243485089666865,-0.18805640776614369,0.4807124434029479,0.4520391997301411,0.4531239651107612,-1.261769842456692,0.2608885029753161,1.0978874055137586
14,2.735374867183543,2.3452739827548608,2.2708832511288772,0.6727431331800531,0.2580233664443849,0.2625640151741006,0.24814686146652676,0.03302834747481143,6.636602826807663,5.0643752926776076,4.753789549848866,5.400428893409264,4.179867070548816,4.870297565858128,1.4147866609379331,0.28914332798170916,-0.12251220181587719,-0.15191017761146372,-0.09629743834938101,0.4694102007804916,0.46209532049337126,0.47594422703296135,-1.5722275341300556,0.6466393435603974,0.6904304953093119
