,a(1.1),a(1.2),a(2.1),a(2.2),a(3.1),a(3.2),a_std,t(1.1),t(1.2),t(2.1),t(2.2),t(3.1),t(3.2),t_std,v(1.1.0),v(1.1.1),v(1.2.0),v(1.2.1),v(2.1.0),v(2.1.1),v(2.2.0),v(2.2.1),v(3.1.0),v(3.1.1),v(3.2.0),v(3.2.1),v_std,z_std,z_trans(1.1),z_trans(1.2),z_trans(2.1),z_trans(2.2),z_trans(3.1),z_trans(3.2),z(1.1),z(2.1),z(3.1),z(1.2),z(2.2),z(3.2),v_bias(1.1),v_bias(2.1),v_bias(3.1),v_bias(1.2),v_bias(2.2),v_bias(3.2)
0,5.609979587861453,2.4677591108942005,4.493556609648875,2.2513355812660834,5.159968640530175,2.754618664988909,0.7067085752010852,0.07249813574807085,0.26673013738290735,0.09730977729245584,0.26115332023163407,0.03514435715647809,0.22884585803125607,0.02730927619972539,6.030872896135987,5.5907680618169575,5.610018782987877,5.202979697499839,5.479861993819639,5.283246242496314,5.138215586928652,5.114790562827236,4.408592925203446,4.814883717574197,4.778384311934543,5.186417033377921,1.1466803736693978,0.19181316556095945,-0.16802261513528594,-0.2546117220254085,-0.1776688983116372,-0.16425548780780047,-0.10992996157932172,-0.10237356751285612,0.4580928919137314,0.4556992481633556,0.47254515243423506,0.4366887245409327,0.45902820444622244,0.474428937023623,-0.4401048343190297,-0.19661575132332487,0.4062907923707515,-0.40703908548803813,-0.023425024101416447,0.4080327214433783
1,5.549929822120234,2.342715540625864,4.532603225674141,2.3474070665587923,5.366149496823004,2.9986418520139626,0.6230189362457474,0.06651120151478075,0.25967602779619253,0.10508761275555226,0.25191948930853,0.04197946785144202,0.20642863913543189,0.02811513811084622,6.437978086714834,5.406234713111249,5.407677191331219,5.3940582655159295,5.277149498455529,4.860882447271386,5.288024176595501,4.756894649709332,4.666476888029571,4.804294506150215,4.752128686992659,4.853663136800154,1.240950874967886,0.20331206069655772,-0.1830702184350938,-0.26506837566885083,-0.21446353228301201,-0.06253983417514825,-0.08548339425759029,-0.1480136213405642,0.4543598422818111,0.4465886795574433,0.47864215573019087,0.43411819989019085,0.4843701354582013,0.4630640029730365,-1.031743373603585,-0.41626705118414264,0.13781761812064364,-0.013618925815289451,-0.5311295268861693,0.10153444980749526
2,5.310403004958452,2.48225082298893,4.466713680694196,2.5055053708814423,5.224290685942175,2.8853185693960586,0.6359848616705966,0.07707782506627248,0.2610846289808466,0.10558614146802558,0.25434305645143324,0.04055333277089121,0.2339919434732518,0.03409144770325563,6.047097534168973,5.472885022988647,4.85601329732293,5.3737523020442115,5.6634757486415,5.0480144610512685,5.4878299028393,5.365848573873887,4.585583866362523,5.155249056597128,4.162589227995874,4.735831574405464,1.2648084436591798,0.19263912482916876,-0.1374547155052275,-0.3084177555586528,-0.1666941183789085,-0.14305492840973708,-0.10780059549677809,-0.21135017714080245,0.4656903241300621,0.45842270130236107,0.4730759197343235,0.4235009936958984,0.464297134546828,0.44735826401083256,-0.5742125111803258,-0.6154612875902314,0.5696651902346055,0.5177390047212818,-0.12198132896541303,0.5732423464095895
3,5.3509384967836455,2.4694565254291847,4.5371045136020705,2.374358093533667,5.434975607822268,2.7172155794452633,0.6300104161430081,0.08755108660524503,0.25220404440565203,0.08456279607440062,0.2589927469485335,0.04018579280355841,0.23654417887686968,0.029563955200024944,5.789242162631156,5.2774818133393335,4.824895630541235,5.190935086545624,5.308900043559782,4.764605438701542,5.604821453629415,5.249931509855663,5.397568595508423,5.037902355711275,4.251064593413172,5.075755338494368,1.1084801120760766,0.19035826469148873,-0.1677246886809582,-0.21548386938746839,-0.17222621083012818,-0.09684774883057663,-0.07815730083380165,-0.14936930392041897,0.45816685123002615,0.45704956069888786,0.4804706151538081,0.44633651983150935,0.47580696968694547,0.4627269487713685,-0.5117603492918228,-0.5442946048582398,-0.3596662397971473,0.3660394560043887,-0.3548899437737525,0.8246907450811953
4,5.1997888976000715,2.5430421471740474,4.393407201941361,2.3608934636400765,5.141972064769482,2.6230110649788028,0.5679848482914976,0.0631383460970362,0.2649889740234849,0.08798951357945416,0.2598952443607348,0.044350303396520366,0.22631655133735248,0.031778977054379695,4.856119862474676,5.601443400620298,4.642251340686606,5.46886798442003,5.462868415230423,5.183718853153464,5.284722058162833,4.64819291507502,5.2858099165904235,4.43266060141902,4.203114881828546,4.8605585818807056,1.1672251825128197,0.18572023903690205,-0.17677367892977197,-0.21813687542856997,-0.15516226306733646,-0.09556792785956236,-0.12165427913146008,-0.19170554016512295,0.45592130488179694,0.46128707195561713,0.4696238842573473,0.4456810020763079,0.476126185687242,0.4522198561355559,0.7453235381456222,-0.2791495620769586,-0.8531493151714038,0.8266166437334244,-0.636529143087813,0.6574437000521591
5,5.051046211353365,2.35122796625532,4.505931792743136,2.4193805211022053,5.200460070514958,2.5873233847919033,0.6377528654110008,0.08355946716104717,0.255261966257285,0.11358223192073713,0.2511328372614035,0.06336707310275166,0.22438317974246969,0.03286666435195495,4.844461503182516,5.347357511065585,5.171301653040968,5.36320619726478,5.129177978712628,4.9996100335875004,5.391332228600738,4.48864293715624,5.393486699305472,5.117662421247498,4.285291169311359,4.900459651848055,1.147363624429456,0.20040805009183618,-0.2156349119934381,-0.32607687125340734,-0.18597046399316866,-0.09504875371042548,-0.02829746365725533,-0.03962378937209601,0.44629919445045774,0.45364091783966665,0.49292610611233784,0.4191954858652292,0.4762556849187334,0.49009534851851766,0.5028960078830691,-0.12956794512512726,-0.27582427805797405,0.19190454422381276,-0.9026892914444975,0.6151684825366965
6,5.318746575923164,2.303094215802646,4.561204247815566,2.4111617313543245,5.088458004076043,2.8718356791859634,0.6262314957330116,0.0861044729090698,0.25474013728125916,0.1120111287627473,0.25351514384079177,0.05179550554121709,0.21972431053053262,0.03480684320412952,5.442533525377691,5.3870920163062115,5.606612289440029,5.496241122257828,5.4715257377693804,5.5372841892136195,5.30312323012226,4.949153162660454,5.80794389810973,5.23380637340841,4.719074557396179,5.3466526107626935,1.1324982636325769,0.18274158333866009,-0.27814525627805825,-0.3016066084753346,-0.18212391819693635,-0.12672913458579482,-0.129958922654846,-0.06020081399423997,0.4309085497255414,0.4545944562905516,0.46755591969657273,0.4251647814445026,0.46836005054349567,0.48495434018929284,-0.05544150907147927,0.06575845144423909,-0.5741375247013201,-0.11037116718220119,-0.35397006746180626,0.6275780533665145
7,5.1042531446422625,2.3284771258276202,4.570347681508153,2.5333257427681803,4.9838382226994415,3.2111019831649754,0.6691362152774961,0.0557396153859038,0.2569680408986985,0.07693561369718134,0.2648059909146593,0.043929047636804705,0.22440498480028295,0.03422641878115637,5.24270230295393,5.392315917113535,5.696160441167178,5.269197771034219,4.851892446271722,5.049059183809557,4.9925793710013355,4.957905582763404,4.91154859943172,5.122675534396691,4.452296323918336,5.230779664444086,1.129419639564141,0.17305026112520316,-0.14705263510369843,-0.23315837432462752,-0.18047850895040482,-0.10938344482572664,-0.08680105093593818,-0.12147943919999366,0.46330294695252466,0.4550024467113657,0.4783133519204662,0.44197304433073326,0.472681371715952,0.4696674331451145,0.1496136141596054,0.19716673753783454,0.21112693496497137,-0.4269626701329594,-0.034673788237931547,0.7784833405257494
8,5.274367879455291,2.3504779078030413,4.516181631486668,2.5208943250888685,5.146529252650186,2.8534500492943193,0.6559804927068846,0.062273938472720815,0.2697087095130998,0.1005849682793971,0.24881296206194636,0.01925110667929189,0.208650890445543,0.03582432900626615,5.2179775262719055,5.691051397026175,5.046712576782333,5.304876944049176,5.017029037763504,4.849540583413331,5.042492875183126,4.763377211915118,5.036050982176228,5.742647964617136,4.233878100991254,5.118003005188421,1.1069723222182453,0.17157093291490724,-0.16898360843846716,-0.3892591690952789,-0.14894777276804716,-0.1097898304607152,-0.0866154971864789,-0.07065159141102238,0.45785434091525257,0.46283174757953655,0.47835965327610197,0.40389565337514816,0.47258007972175975,0.4823444457280758,0.4730738707542699,-0.16748845435017312,0.7065969824409084,0.25816436726684255,-0.2791156632680085,0.8841249041971668
9,5.322680116706222,2.331722570140523,4.421613349708534,2.374977098482576,5.172131805052016,2.89693554481188,0.5774926577081887,0.07026369105255578,0.24743568848702754,0.10255148297888553,0.24434058853530866,0.04682498697549327,0.23954271909254998,0.03571221571635624,5.678107307618255,6.000011252768562,4.768762694960121,5.495302553073142,5.185994272827787,4.507627445047933,5.40951676096046,4.5364449251488965,5.676866336611611,5.209178265335665,4.2294567373614536,4.804637225480087,1.2470902167998337,0.1661392208885023,-0.1422705605154122,-0.2979442945078978,-0.13847263989504982,-0.07968184919323386,-0.1422680231928924,-0.10007886402839752,0.46449223214443475,0.46543705015360554,0.4644928632760613,0.4260600942207906,0.4800900709257632,0.4750011457606975,0.3219039451503072,-0.678366827779854,-0.4676880712759459,0.7265398581130205,-0.8730718358115634,0.5751804881186331
