,a,a_std,t(1),t(2),t(3),t_std,v(1.0),v(1.1),v(2.0),v(2.1),v(3.0),v(3.1),v_std,z_std,z_trans,v_bias(1),v_bias(2),v_bias(3)
0,4.824289146191143,1.2302740353209032,0.08934194115760037,0.10122930230701899,0.08776479961372874,0.07154138395020448,5.900076884245408,5.337623575855853,5.324637783893784,5.4253615946476055,5.920844788333083,5.636111502038076,1.2852010213188518,0.10647257594392448,-0.18761831074179738,-0.5624533083895553,0.10072381075382175,-0.2847332862950074
1,4.837978375845607,1.219331194132495,0.11068873497678139,0.10213704714640401,0.08383375735889921,0.06704655014145425,5.77584165913997,5.27604879735093,5.842005798575919,5.023730211839327,5.2319585738785275,5.077039400051644,1.4679483051272295,0.08943738329471765,-0.17492968771076883,-0.49979286178904037,-0.8182755867365916,-0.15491917382688314
2,4.902417115975629,1.2874585251220982,0.10756369062935767,0.10217805013083156,0.06149563215949539,0.06409208775740213,5.692863135789977,5.527598471230819,5.520933191405405,5.782677791984937,5.510471304406912,5.479671752597407,1.2214847026416695,0.13162287950628948,-0.14168112589019277,-0.16526466455915756,0.2617446005795321,-0.030799551809504777
3,4.987265136654618,1.311369688582971,0.09672166580045771,0.10929135745533627,0.06844956981004001,0.0694638571396026,5.876312261933885,5.2914999821931055,5.834013374309664,5.077572292313618,5.397641705965983,5.343989922464786,1.1725270192290418,0.1360356537013626,-0.20885633569450185,-0.5848122797407793,-0.7564410819960461,-0.053651783501196704
4,5.138560116355345,1.4723531847705824,0.11217980049672541,0.05607356866187709,0.06397566813720074,0.08114922684925767,6.190039564780849,5.816491110090508,5.486814835424427,5.2548294874180135,5.411942949063576,5.485053813745939,1.2166143426524256,0.14454294436508341,-0.14209980811982392,-0.3735484546903409,-0.2319853480064138,0.07311086468236283
5,5.276572198295629,1.539635460757283,0.07339128140785367,0.03032538300442354,0.07540939837230567,0.08692566804189458,6.375046285049917,5.500258409882514,5.440053440515926,5.197072188496778,5.429614741163616,5.504347943085313,1.1947708229981457,0.13188370259476995,-0.13606886236457932,-0.874787875167403,-0.2429812520191481,0.0747332019216973
6,5.274731794319602,1.5399372080596945,0.0716445694058631,0.025084657515255557,0.045510960090519866,0.08517948300017245,6.387627417442333,5.614745021041903,5.3442708629233,5.369525818784568,5.447134208996067,5.171509387672637,1.2079414594457942,0.11597059181655825,-0.18460377054170424,-0.7728823964004299,0.025254955861267803,-0.27562482132343025
7,4.590463611175679,1.187944901401222,0.06828186449582596,0.058694960286547235,0.04316065353124186,0.08588427237224815,6.203479607756635,5.785869474526843,5.187241367999764,5.35947573843882,5.532935320978555,5.157235355476849,1.114553494691371,0.11858195193558799,-0.1564827012484345,-0.41761013322979235,0.17223437043905587,-0.37569996550170615
8,4.590530265001615,1.335404166812424,0.0927517736529825,0.0534950726171092,0.05419489577673556,0.08820663265601095,6.164586569810081,5.771348715144127,5.097682263685423,5.179192177573381,5.399800080370572,5.048172125167618,1.2092049910298153,0.09002793542188167,-0.16273749561618175,-0.39323785466595407,0.0815099138879587,-0.35162795520295465
9,5.166947643418168,1.4085572091467533,0.08903362357067039,0.06569848045310456,0.0580196814778378,0.08757377250820408,6.219068618374767,5.694754752801562,5.342106125306151,5.2211308534288,5.395139833449252,5.15974786011466,1.206781800441037,0.15835271822923352,-0.1870082735611843,-0.5243138655732054,-0.12097527187735047,-0.23539197333459239
10,4.868475730545625,1.0434526945300495,0.0810166025234104,0.06404324441029802,0.10831326395385715,0.0793179970818911,6.098451272555662,5.635822629331416,5.6606679086695975,5.150961401796025,5.020746748451294,5.8572372906311525,1.176099962948262,0.15676704681588144,-0.19495047849946395,-0.4626286432242459,-0.5097065068735729,0.8364905421798587
11,4.790962825107903,1.352439103764733,0.07784162787445431,0.04418426070631601,0.09412520010754877,0.08784443303653507,5.6563537637565275,5.810805384846578,5.546635844269548,5.187074783464919,5.851682965453768,5.184801542625799,1.162226955205932,0.11519348146362093,-0.15619770630829932,0.1544516210900504,-0.35956106080462913,-0.6668814228279691
12,5.078491582189779,1.3950037492292853,0.10039975146479134,0.022279734063647135,0.0753498461744502,0.06621047370640111,5.6877433792207714,5.413072177864963,5.824248350158304,5.3150857003993055,5.167567355273091,5.3529726785082055,1.2452193962597213,0.125560124927678,-0.13623469825749246,-0.27467120135580814,-0.5091626497589985,0.1854053232351145
13,4.957460783159638,1.1585502978905098,0.10012595383676406,0.02359861514636167,0.08491679771216348,0.09471701218914902,5.735004707634344,5.3240783139799674,5.6100254527462985,5.395057941843453,5.543704578500559,5.158509325519753,1.220901825649995,0.10402044065156905,-0.17844296885943953,-0.41092639365437655,-0.21496751090284505,-0.3851952529808065
