,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,3.677442525679301,0.2637271672390096,3.143111408810163,3.50161384502237,3.6809504144987075,3.8398955895656117,4.189893409275838,0.013670248133723903
a_std,1.206283149134929,0.2198693186009684,0.8704605194881607,1.0449788251807692,1.1742033805011622,1.3412585260708922,1.7243681196374463,0.012654959053444645
a_subj.302,3.007451803519112,0.3204865984516724,2.5240179915749743,2.7408472748337678,2.9734167344135263,3.2084014254711763,3.7085079664203366,0.031486801302262155
a_subj.303,3.3043657742397703,0.3801731732055894,2.7350707089220077,3.062011352674814,3.2147387473126487,3.481306680974112,4.232117542901488,0.03748308869908413
a_subj.304,5.24769617432647,0.40592207932080704,4.4147076022243406,4.921163177325626,5.275406063194021,5.5857263235648515,5.938093914236265,0.04005610049064974
a_subj.305,3.8658117962227108,0.396450198329987,3.2588379215738597,3.5815125563459227,3.793730046331358,4.136002286801287,4.72894483491503,0.03910771718869281
a_subj.307,3.2106612380915633,0.17835343124875347,2.8070550607232154,3.099845962155894,3.239132337910816,3.3284121598161547,3.522849810618985,0.01724544951772515
a_subj.308,2.1553922995330925,0.14683476913665566,1.920856079888796,2.032141580799782,2.153124141342721,2.262369434825034,2.4519447896599442,0.013645394332986385
a_subj.309,2.4176312784866316,0.18906643755280622,2.0584018496265903,2.2964703363114674,2.4294820073751815,2.53679805655698,2.8047781419745044,0.018329971644762084
a_subj.310,4.518396211494079,0.30517420041937743,3.8277794074313527,4.339759822590637,4.534323315460091,4.748586380513951,5.000448753042278,0.029512488839907265
a_subj.311,4.7640190953285515,0.4126055727176338,3.9400478671129657,4.501355277610044,4.749610364494352,5.0319451760271825,5.662030083650865,0.04067439905189478
a_subj.312,3.560024125171394,0.3075422984910087,2.8127143244631334,3.416768447147095,3.6173124773775385,3.7702573910115498,4.017693759679314,0.03024414086054829
a_subj.313,5.056205945916405,0.363593513481,4.306733660767609,4.800189825179847,5.0933041968787505,5.314990715945029,5.654896270628991,0.03588390738833632
a_subj.314,5.502921801490746,0.5580193668881999,4.567216717902166,4.928430653317941,5.719299709418949,5.963343005012031,6.2816834513750015,0.05540997806708212
a_subj.315,5.187820919347499,0.5493106367310401,4.4861818582102435,4.717874139174467,4.980799215424547,5.717454092068299,6.1975287062540705,0.05451646991546492
a_subj.317,2.036796246421379,0.15475926294306025,1.770692411352869,1.9548291197219214,2.028241456688697,2.1048087660131065,2.4715206272005714,0.01475009909849273
a_subj.319,3.132560421822025,0.31671983184491553,2.625156644952877,2.881911684202301,3.1038479239595036,3.35383857925196,3.8853445075356836,0.03100593981833268
a_subj.320,3.4436567716621,0.2184439247998639,3.102060128277547,3.2643606443522843,3.4353570321774223,3.5952180191708827,3.9437783544758367,0.021164828577100954
a_subj.322,3.8635812308743307,0.38940642458820923,3.209833273839329,3.5845816866943028,3.794238186372305,4.166537661179547,4.6611851745310995,0.038381234649898274
a_subj.323,2.88898519499431,0.2619942166852351,2.46546848238367,2.6841614294646523,2.8899411920108626,3.086964529283415,3.417494290213181,0.025569280005625687
a_subj.324,4.89460241269848,0.3211208106361327,4.292454715716424,4.661295374875338,4.891303231206947,5.144195871009252,5.458440760035869,0.0314259304201218
a_subj.325,3.0230174760603643,0.2211337809226051,2.6128828669214212,2.841230780136092,3.0090506739678062,3.2152554655409205,3.4143978109803905,0.02147071896788597
a_subj.328,2.6184625858131776,0.16897342142072053,2.3352212153949305,2.4945224611918055,2.600493930065172,2.7531274483373602,2.9430274191786974,0.015912444072686112
a_subj.329,5.221467220081461,0.3249368398246391,4.612336622763139,4.983696266468021,5.21702058426025,5.462459011563682,5.836163466744987,0.03172137978294679
a_subj.332,4.622059589334031,0.31875219239574376,4.141285876473654,4.362007752714265,4.587852113062999,4.804068722816714,5.321837363637737,0.031306478927607906
a_subj.334,2.287013600870217,0.12421033798957873,2.0417061216297956,2.2119458322519234,2.280970975284191,2.379323681650719,2.512307202531256,0.01125540173087049
a_subj.336,3.855711123524441,0.36707835648749,3.2531890140752564,3.5679860857667816,3.8212775480790317,4.10289927520507,4.601766870558367,0.036031991429468904
a_subj.338,2.7123319272352053,0.19491674885443144,2.398681643649568,2.558710315877131,2.682447235388018,2.864243162778488,3.098979876309442,0.018837573953804268
v(1.0),5.011763592551546,0.37995766449421775,4.305956315091965,4.747778425311522,4.997995756620181,5.259824234148264,5.790388633591196,0.026325983555558246
v(1.1),4.555370654506522,0.2601219203303842,4.036579694168109,4.376043235868752,4.56660193094053,4.727686967261651,5.068855531351017,0.009401582075459923
v(2.0),5.53573439530866,0.36414001096810433,4.876825899604392,5.2799475318111835,5.515471410177267,5.77204675549744,6.271286641659743,0.024526399537439972
v(2.1),5.918201472706534,0.27279949778151424,5.406959540959222,5.7297653048221795,5.916849620612894,6.102991493354219,6.486841249126207,0.009692778646636264
v_std,1.3238943329985113,0.13145017080984395,1.0901120826819763,1.2284684425566739,1.3191540951491825,1.4077580395269504,1.5970983514238086,0.00895023705527306
v_subj(1.0).302,5.440301606929059,0.7880222466404345,3.990398980289959,4.88465822071268,5.409441373279846,5.976721064005422,7.047144791488902,0.05759448552331216
v_subj(1.0).303,3.377717713982577,0.4275848218145181,2.5450085746173086,3.0995263158405155,3.3588284738266956,3.652005299131683,4.351581265272709,0.031179714093132766
v_subj(1.0).304,5.157611444825969,0.649720928340546,4.00898497951212,4.695681066426624,5.110999022968615,5.569849292797885,6.5907467577751575,0.05424797558012243
v_subj(1.0).305,5.4407703924889415,0.7980053582979487,4.128476446042284,4.871250190108436,5.344370634077594,5.960405408067127,7.114599913753233,0.06358981106771813
v_subj(1.0).307,6.829981877147815,0.8365803224895094,5.228052996694796,6.280097625597579,6.813048220621201,7.418226960482652,8.479375679498142,0.05955357379756958
v_subj(1.0).308,4.800553436941953,0.6078194073885496,3.648457303608205,4.3743447819925025,4.7988529802496105,5.22351187971898,5.994758294039394,0.03237922095744164
v_subj(1.0).309,6.191456414386252,0.834368242166058,4.74996588859204,5.591932943962485,6.135919215377535,6.7838851037169325,7.90267650265146,0.06385343800391437
v_subj(1.0).310,4.745337855467822,0.4676488049375894,3.8359314445951216,4.430475872547445,4.722860778721241,5.065511521984922,5.607811446090948,0.03233341931284417
v_subj(1.0).311,4.98760876471094,0.6376347248879816,3.8836679498003925,4.515999579001533,4.9257999922336975,5.393087113976412,6.386969635927933,0.05307974521409409
v_subj(1.0).312,6.300654748448088,1.0845169655526712,4.059249662480822,5.640454649283246,6.3245493637481,7.005299630829402,8.487028150075187,0.04966739190367948
v_subj(1.0).313,6.578845661208066,0.6910329337284514,5.306021505843935,6.130220736320493,6.516274317948168,7.021780659765674,8.022630876324646,0.05764979666658131
v_subj(1.0).314,4.672463972081374,0.8773498068385339,3.100086429423178,4.046645002701395,4.65291806268589,5.22769611694102,6.633193660972006,0.0629819216498693
v_subj(1.0).315,4.897089952758368,0.6566425163749776,3.6827280199421484,4.421713457279886,4.8597437701003745,5.3276251692875425,6.177067526015202,0.05294181764985643
v_subj(1.0).317,5.767764976272345,0.9669659238941248,3.7355783577085604,5.114744933128121,5.767338422505527,6.411932818915319,7.536214801966508,0.05107849297952971
v_subj(1.0).319,4.903887722869946,0.6753120080004086,3.6911826084073174,4.436320208102849,4.8543281579565445,5.360954682828309,6.337791431042264,0.051123042694234636
v_subj(1.0).320,5.092068939410734,0.553161146506057,4.015916388190066,4.706797664318451,5.088952383833417,5.469693324415726,6.178147735158621,0.03272334776874409
v_subj(1.0).322,5.3641406373185205,1.0339044465893712,3.647035696416972,4.552405002050704,5.321446708231204,6.07793062170084,7.488003963024434,0.09270763718702779
v_subj(1.0).323,3.0042610279080773,0.4333863330553989,2.1540584335564237,2.715508086776156,3.0062425691431436,3.2831463470164177,3.8683050911799146,0.02657522719781951
v_subj(1.0).324,5.7177252859255026,0.5404273075252218,4.650395443676488,5.35337208457887,5.720484059535756,6.079243610594689,6.750505726912377,0.03833194926870307
v_subj(1.0).325,4.508642419709347,0.591157311481457,3.35068704411887,4.121820723168801,4.533776771686929,4.88551142416918,5.6296212571858435,0.038722598377699285
v_subj(1.0).328,3.1456161582145765,0.41225521503434187,2.343447947627677,2.873045984299729,3.157677726158135,3.4121563282905414,3.94069117014499,0.02140596007553624
v_subj(1.0).329,5.185331305556146,0.48252528162122305,4.286801011365035,4.855490798453403,5.1890029193706155,5.503550256240893,6.107257992897514,0.03402696513933441
v_subj(1.0).332,5.588334225735261,1.1405409338002261,3.461571733971315,4.68513030107221,5.693569463139487,6.421749171055437,7.676331959413627,0.07758212658954046
v_subj(1.0).334,2.8553086220274064,0.3735574747479105,2.1943875313740433,2.5896088282470338,2.8458841793622756,3.1044029485802573,3.58208162711963,0.019240124788554143
v_subj(1.0).336,6.864725550492493,1.118673204210433,4.6641867086819815,6.095002234247337,6.89094365823715,7.703836535307161,8.957900209854525,0.089420613929824
v_subj(1.0).338,2.7188648432559233,0.3677256370126334,1.9817399654407575,2.481933766054045,2.707874832131667,2.9670473709695018,3.4258445210715345,0.021516865556988327
v_subj(1.1).302,3.7677248115313398,0.16815822033021413,3.4535823856446366,3.649736012035964,3.767588931529864,3.8927270329824846,4.0852529858124,0.014809107286607939
v_subj(1.1).303,3.499850855970259,0.20424046680530025,3.1765442874128724,3.3615983670730047,3.4650023430718475,3.6138565394365996,3.9655137399122533,0.018875591290344218
v_subj(1.1).304,5.981721562938174,0.23579229768990012,5.464448956725485,5.833810608281739,6.035071051871487,6.1471147866678315,6.352752917065066,0.02198301420452011
v_subj(1.1).305,4.730042903387611,0.2467722692215079,4.276014621507697,4.556212393148443,4.722707203653169,4.897257694876426,5.220704564159354,0.02303172110833349
v_subj(1.1).307,6.050100706359715,0.24574723314614247,5.51701410297259,5.899874127503608,6.067465745303757,6.212871879378993,6.5323968523018205,0.022443612389418128
v_subj(1.1).308,2.7545380467457004,0.1362182180720218,2.4835098536086924,2.656899906137111,2.7601242881708905,2.8566353901123884,3.007001460809167,0.010513911797064077
v_subj(1.1).309,4.891617508083675,0.2570824689053774,4.371954953408565,4.714538013662205,4.901118190341858,5.073744176143717,5.3385438418974385,0.02289390098976281
v_subj(1.1).310,3.7891030058688444,0.14921869346793795,3.4784317949307964,3.688177814509274,3.803867562529953,3.898083220476792,4.038016132369068,0.013096008318278266
v_subj(1.1).311,4.899186737270467,0.21825973252532793,4.445533607017727,4.767227039098649,4.882654414243395,5.049620064633791,5.322221524398664,0.020370848820803065
v_subj(1.1).312,5.195725962142884,0.24006601564757166,4.701574660964328,5.045638003961737,5.218582730976283,5.365491198387321,5.625245790571334,0.022274081758058235
v_subj(1.1).313,6.205069741529302,0.21156214193540102,5.7650083569872,6.072030317442789,6.220253702264428,6.342546723661025,6.610869000988244,0.01930666567434964
v_subj(1.1).314,5.584481135592848,0.2477604620372842,5.155081330496577,5.375197413122091,5.602708095212205,5.782052672517407,6.023228755759945,0.02343916681116822
v_subj(1.1).315,5.300607352991602,0.2437131090996701,4.925597354175305,5.103536488920884,5.249172042504294,5.496217041238,5.778894670958307,0.023121477611005047
v_subj(1.1).317,3.781112996886116,0.1834169813956417,3.4281507320495663,3.6507922089589004,3.775250893558518,3.9108546574973824,4.163732496595297,0.014907664150086241
