,a,a_std,t,t_std,v(1.0),v(1.1),v(2.0),v(2.1),v_std,z_std,z_trans,z
0,4.174790128445526,1.8677044510926422,0.173225625692287,0.05632082239148316,5.183686804583183,4.582666567153712,5.246287547052355,5.5733364181996965,1.2221036788680877,0.1806797526430976,-0.26087360279404104,0.43514896941927667
1,2.7707347766371226,1.527633707094284,0.17666726057670581,0.054802642504048135,5.012575075026756,4.347540959766565,5.361346400352573,6.0386480854345495,1.2686891494956274,0.264384551477711,-0.28754309093470287,0.4286054651991606
2,2.7532469354526374,1.6488823104332657,0.15707281134734238,0.05638323523798677,4.854130883957211,4.571260124505474,5.380744360447808,6.0896865226302435,1.3117669650283301,0.1694761861737272,-0.16907211441485925,0.45783237171244007
3,4.042776869669936,1.6240863831447343,0.1755750960769752,0.05573995448093707,4.023822960200996,4.412754606639899,5.270114652661732,5.934420897318547,1.1798950253247151,0.1750007301281151,-0.29761474889410633,0.4261406809251201
4,3.8697402498093973,1.4761839115718416,0.16132249722894765,0.05411776865085907,4.4202232573484155,4.236013266428377,5.151565211245922,5.94377030470794,1.4740366958682443,0.17066279592367464,-0.23809562236390636,0.44075570789677726
5,3.4456655222685355,1.2763980025232624,0.1578127911899772,0.0565975358685822,4.631390792903993,4.378799712665082,4.994330749936005,6.39576439456287,1.4008713777051023,0.21901981574301532,-0.3042636104452164,0.42451554046185536
6,3.7128466901716273,1.1173210151060649,0.1619575864758794,0.04913371805449922,4.853884437057543,4.716612752550925,5.447834425236858,6.517225880585028,1.3679258254004636,0.18518997205274945,-0.27208099482567794,0.4323962853423005
7,3.81628736401488,0.9690235411544521,0.1633603539762527,0.04890642036468673,4.349120765170253,4.741528238890644,4.689620568063464,6.129202606725148,1.3924311388726693,0.1436271727682154,-0.257353564241311,0.4360143716444342
8,3.7719826243468724,0.9674869677113874,0.1715691140875028,0.0508846422191849,4.382825573772975,4.511125732767226,5.137676153109219,5.768893904388372,1.1813915839054165,0.16259562947540762,-0.2962623669591549,0.42647143188324244
9,3.449615491816901,1.1516125607804832,0.1603219302377513,0.0576329817638082,4.577577773463342,4.315364587162744,5.229062151114988,5.734024995950975,1.183387540124894,0.17127114946661548,-0.30563988064307235,0.4241793497462645
10,3.330305137486735,0.9464904262118666,0.1713025458179052,0.060164648401746235,4.460675034969382,5.049689474787534,5.314515125275647,5.690184374032687,1.2497473062315005,0.20445492865512127,-0.2537722481003765,0.4368952391078244
11,3.5156839293846476,0.9178248266715395,0.1747491449506998,0.06235222937989907,4.544420235800896,4.173145385629364,5.380789108198172,5.795372802424077,1.325275036697277,0.18862461492268623,-0.23344927901183588,0.4419012988837195
12,3.7842576668615147,1.1742033805011622,0.1729343611031046,0.053313210129014736,4.618031199376763,4.668570427932855,4.796485728662544,6.104050776916242,1.4832314196198053,0.17996403770485606,-0.29903262662067137,0.42579398266418744
13,3.4101128827052873,1.2174935758809269,0.16161371499053517,0.05544621305564661,4.208103311595756,4.478503667198512,5.347190780125601,5.392626542556842,1.174910176517674,0.20258881343433582,-0.32751743326673116,0.41884479220633897
14,3.3301180180158894,1.0778180679148832,0.1678049204840202,0.050359105635133294,4.130917122590965,4.511223105112491,5.132908087455551,5.565315630377669,1.1573482840927796,0.1704703177851103,-0.3291374657133421,0.41845050582481247
15,3.231604608365276,1.2747774792713573,0.1360588954164099,0.06624409567938339,4.189673795068277,4.489214715601545,5.007837336924135,5.6444431092211,1.1701638138587949,0.13880078032172505,-0.2781310556709432,0.4309120320923139
16,3.347880528104271,0.999161945537652,0.19645085879490382,0.06405601077350817,4.261855193123337,4.6045340229946135,5.0719729475184305,6.486841249126207,1.1736067617748192,0.16586501177842305,-0.3213877596586155,0.42033757746909656
