SubID,ContProbeN,BlockN,ProbeN,Task,W_Fp1,W_Fz,W_F3,W_F7,W_FT9,W_FC5,W_FC1,W_C3,W_T7,W_TP9,W_CP5,W_CP1,W_Pz,W_P3,W_P7,W_O1,W_Oz,W_O2,W_P4,W_P8,W_TP10,W_CP6,W_CP2,W_Cz,W_C4,W_T8,W_FT10,W_FC6,W_FC2,W_F4,W_F8,W_Fp2,W_AF7,W_AF3,W_F1,W_F5,W_FT7,W_FC3,W_C1,W_C5,W_TP7,W_CP3,W_P1,W_P5,W_PO7,W_PO3,W_POz,W_PO4,W_PO8,W_P6,W_P2,W_CPz,W_CP4,W_TP8,W_C6,W_C2,W_FC4,W_FT8,W_F6,W_AF8,W_AF4,W_F2,W_FCz,A_Fp1,A_Fz,A_F3,A_F7,A_FT9,A_FC5,A_FC1,A_C3,A_T7,A_TP9,A_CP5,A_CP1,A_Pz,A_P3,A_P7,A_O1,A_Oz,A_O2,A_P4,A_P8,A_TP10,A_CP6,A_CP2,A_Cz,A_C4,A_T8,A_FT10,A_FC6,A_FC2,A_F4,A_F8,A_Fp2,A_AF7,A_AF3,A_F1,A_F5,A_FT7,A_FC3,A_C1,A_C5,A_TP7,A_CP3,A_P1,A_P5,A_PO7,A_PO3,A_POz,A_PO4,A_PO8,A_P6,A_P2,A_CPz,A_CP4,A_TP8,A_C6,A_C2,A_FC4,A_FT8,A_F6,A_AF8,A_AF4,A_F2,A_FCz,MA_Fp1,MA_Fz,MA_F3,MA_F7,MA_FT9,MA_FC5,MA_FC1,MA_C3,MA_T7,MA_TP9,MA_CP5,MA_CP1,MA_Pz,MA_P3,MA_P7,MA_O1,MA_Oz,MA_O2,MA_P4,MA_P8,MA_TP10,MA_CP6,MA_CP2,MA_Cz,MA_C4,MA_T8,MA_FT10,MA_FC6,MA_FC2,MA_F4,MA_F8,MA_Fp2,MA_AF7,MA_AF3,MA_F1,MA_F5,MA_FT7,MA_FC3,MA_C1,MA_C5,MA_TP7,MA_CP3,MA_P1,MA_P5,MA_PO7,MA_PO3,MA_POz,MA_PO4,MA_PO8,MA_P6,MA_P2,MA_CPz,MA_CP4,MA_TP8,MA_C6,MA_C2,MA_FC4,MA_FT8,MA_F6,MA_AF8,MA_AF4,MA_F2,MA_FCz,State,Vig,Pup,pcPup
315,22,3,2,1,1,1,1,3,2,2,1,1,0,2,1,1,0,2,4,1,2,1,2,0,2,0,2,1,1,1,0,0,0,1,0,2,1,1,2,1,0,0,2,2,2,0,3,2,2,1,1,3,1,1,1,2,1,0,1,0,0,1,1,3,4,1,1,25.6952323913574,53.7187004089355,54.734691619873,60.5479621887207,26.6164073944092,34.040283203125,42.8372116088867,35.3680076599121,NaN,15.6105937957764,33.6540298461914,38.8578681945801,NaN,28.5403614044189,20.0765781402588,19.896312713623,20.3430767059326,23.6799755096436,24.5133476257324,NaN,14.6673078536987,NaN,34.5396995544434,35.8601608276367,32.2075843811035,22.1015243530273,NaN,NaN,NaN,51.9159164428711,NaN,26.0576972961426,26.7427082061768,25.5615081787109,45.5902099609375,65.2718276977539,NaN,NaN,38.4852600097656,32.0166702270508,19.9050769805908,NaN,32.7634048461914,23.9056587219238,22.188777923584,26.3862934112549,26.3069152832031,27.0964889526367,31.7687759399414,27.0299644470215,25.5766754150391,36.0723724365234,32.0603256225586,NaN,29.8497333526611,NaN,NaN,38.7824935913086,56.0064086914062,24.4481582641602,44.186637878418,49.3673133850098,41.0159683227539,25.6952323913574,53.7187004089355,54.734691619873,78.9347076416016,26.6399841308594,34.1568870544434,42.8372116088867,35.3680076599121,NaN,17.035083770752,33.6540298461914,38.8578681945801,NaN,32.7308502197266,22.953088760376,19.896312713623,22.4119682312012,23.6799755096436,25.9053230285645,NaN,15.667272567749,NaN,35.5791549682617,35.8601608276367,32.2075843811035,22.1015243530273,NaN,NaN,NaN,51.9159164428711,NaN,27.3729991912842,26.7427082061768,25.5615081787109,49.8807640075684,65.2718276977539,NaN,NaN,41.8088417053223,33.1628112792969,21.2249813079834,NaN,37.156608581543,26.6876220703125,22.9958877563477,26.3862934112549,26.3069152832031,33.1494026184082,31.7687759399414,27.0299644470215,25.5766754150391,39.2928848266602,32.0603256225586,NaN,29.8497333526611,NaN,NaN,38.7824935913086,56.0064086914062,25.9488086700439,81.9775695800781,49.3673133850098,41.0159683227539,1,1,1097.45673430699,2
315,23,3,3,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,1,2,0,0,1,0,0,1,1,0,0,0,0,0,1,2,0,1,0,NaN,48.0900573730469,61.998176574707,41.7882614135742,24.3647155761719,NaN,NaN,36.9678993225098,NaN,13.9692850112915,NaN,NaN,31.7543048858643,NaN,NaN,22.9802188873291,NaN,21.9096450805664,24.6515197753906,NaN,14.0566167831421,25.8233108520508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.4513206481934,75.2786178588867,NaN,NaN,34.2907485961914,NaN,NaN,NaN,NaN,34.2676048278809,NaN,NaN,19.8927268981934,32.8709487915039,NaN,NaN,19.7775230407715,NaN,NaN,35.2180519104004,28.3020057678223,NaN,NaN,NaN,NaN,NaN,43.918571472168,22.5668792724609,NaN,54.6137962341309,NaN,NaN,48.0900573730469,61.998176574707,41.7882614135742,24.3647155761719,NaN,NaN,36.9678993225098,NaN,13.9692850112915,NaN,NaN,31.7543048858643,NaN,NaN,22.9802188873291,NaN,21.9096450805664,26.2195510864258,NaN,14.0566167831421,27.1226501464844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.4513206481934,75.2786178588867,NaN,NaN,34.2907485961914,NaN,NaN,NaN,NaN,35.248477935791,NaN,NaN,19.8927268981934,33.4598083496094,NaN,NaN,19.7775230407715,NaN,NaN,35.2180519104004,28.3020057678223,NaN,NaN,NaN,NaN,NaN,43.918571472168,23.0070152282715,NaN,54.6137962341309,NaN,1,1,1197.19194713735,1197.19194713735
315,24,3,4,1,1,1,1,1,1,1,1,0,2,4,1,0,2,2,2,1,2,0,0,1,2,1,2,4,1,2,0,0,2,1,0,1,0,2,1,1,1,0,1,2,0,2,2,1,1,1,2,1,0,1,1,0,0,1,0,2,1,1,2,1,4,2,2,24.2279891967773,48.7109375,54.1518173217773,54.9974327087402,23.1461868286133,33.8612251281738,41.8360900878906,NaN,39.1846656799316,15.1803188323975,36.9372024536133,NaN,36.3433456420898,31.380199432373,20.197811126709,18.7864971160889,20.5632629394531,NaN,NaN,19.6161766052246,13.310375213623,23.6205348968506,37.5900535583496,47.1960906982422,44.3778533935547,24.7870101928711,NaN,NaN,48.2278671264648,48.3297576904297,NaN,28.6752185821533,NaN,25.4509925842285,46.8633193969727,66.4380798339844,50.7073364257812,NaN,40.4788818359375,41.0214004516602,NaN,37.8750915527344,33.7118034362793,22.0283603668213,18.3134155273438,28.412223815918,23.7385215759277,23.234447479248,NaN,22.4222545623779,31.4427738189697,NaN,NaN,21.2422466278076,NaN,42.1041259765625,59.4636573791504,49.9326019287109,43.9769515991211,25.3860816955566,42.0764694213867,62.9010696411133,51.2121429443359,24.2279891967773,48.7109375,54.1518173217773,54.9974327087402,23.1461868286133,33.8612251281738,41.8360900878906,NaN,45.9052925109863,15.9296932220459,36.9372024536133,NaN,41.6379470825195,36.2749443054199,22.5811386108398,18.7864971160889,22.2042007446289,NaN,NaN,19.6161766052246,13.4961185455322,23.6205348968506,42.1952247619629,65.3025054931641,44.3778533935547,28.3968143463135,NaN,NaN,56.9338264465332,48.3297576904297,NaN,28.6752185821533,NaN,26.0911769866943,46.8633193969727,66.4380798339844,50.7073364257812,NaN,40.4788818359375,47.7841453552246,NaN,45.6410675048828,39.9790191650391,22.0283603668213,18.3134155273438,28.412223815918,25.4710445404053,23.234447479248,NaN,22.4222545623779,31.4427738189697,NaN,NaN,21.2422466278076,NaN,46.6579627990723,59.4636573791504,49.9326019287109,57.6263771057129,25.3860816955566,82.9177474975586,81.14111328125,57.2574272155762,1,2,1153.32319893127,4
315,25,3,5,1,0,3,2,0,1,3,1,1,1,0,1,2,0,0,1,2,1,0,4,2,0,0,2,2,2,0,1,1,1,3,1,1,1,2,0,2,1,1,1,2,1,2,1,1,2,0,2,3,2,4,3,3,2,0,2,1,1,0,1,1,1,2,2,NaN,48.2090606689453,51.4068336486816,NaN,36.0648994445801,43.1167602539062,44.0921783447266,34.5668067932129,35.2482681274414,NaN,30.8393878936768,35.1641311645508,NaN,NaN,18.9027042388916,27.2991714477539,31.8847942352295,NaN,29.2669906616211,22.0179195404053,NaN,NaN,38.1497268676758,47.4591827392578,32.1083106994629,NaN,44.4601593017578,44.4475250244141,46.3274383544922,47.8675079345703,73.6746520996094,31.5930919647217,25.508207321167,30.4494972229004,NaN,53.834716796875,56.7385940551758,39.4086227416992,47.3949165344238,30.0562438964844,31.6222877502441,44.6250038146973,29.4496650695801,41.3865661621094,28.105224609375,NaN,32.7883720397949,30.5285358428955,21.2855606079102,29.6620559692383,32.1592216491699,40.4903373718262,30.4298000335693,NaN,42.0592956542969,39.5589408874512,45.157901763916,NaN,35.0453414916992,38.8028564453125,41.9062423706055,49.5707473754883,49.3591766357422,NaN,57.1219902038574,64.800422668457,NaN,36.0648994445801,59.2771148681641,44.0921783447266,34.5668067932129,35.2482681274414,NaN,30.8393878936768,38.7631492614746,NaN,NaN,18.9027042388916,34.620735168457,31.8847942352295,NaN,41.7756500244141,23.8692970275879,NaN,NaN,45.2046737670898,51.1266059875488,32.9330368041992,NaN,44.4601593017578,44.4475250244141,46.3274383544922,62.8854866027832,73.6746520996094,31.5930919647217,25.508207321167,35.2366561889648,NaN,72.21435546875,56.7385940551758,39.4086227416992,47.3949165344238,31.4532814025879,31.6222877502441,44.708625793457,29.4496650695801,41.3865661621094,35.8694152832031,NaN,39.929271697998,40.4493141174316,22.8505306243896,42.8743362426758,40.6533508300781,42.9922561645508,33.0672416687012,NaN,42.6006278991699,39.5589408874512,45.157901763916,NaN,35.0453414916992,38.8028564453125,41.9062423706055,53.8099746704102,51.9232025146484,1,2,1251.74353401296,1251.74353401296
315,26,3,6,1,2,0,0,1,2,2,0,1,1,2,1,1,2,2,0,0,1,0,1,1,1,1,1,1,1,3,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,2,0,0,0,1,1,0,1,0,3,2,2,1,1,1,1,0,0,0,38.68701171875,NaN,NaN,78.0960006713867,22.7101669311523,55.5190811157227,NaN,40.6148147583008,23.9530124664307,13.5387544631958,35.3218994140625,35.3309516906738,27.9012680053711,26.7209434509277,NaN,NaN,21.8455505371094,NaN,24.9005508422852,19.021879196167,13.3302202224731,25.0911636352539,33.636962890625,40.8354949951172,36.749584197998,28.8846302032471,32.4258346557617,52.3491363525391,NaN,NaN,NaN,NaN,28.6547412872314,27.3698425292969,NaN,33.1856689453125,NaN,NaN,46.2024002075195,NaN,16.941499710083,NaN,30.3219032287598,NaN,19.4219493865967,NaN,NaN,NaN,24.7272167205811,26.6287822723389,NaN,31.6573886871338,NaN,18.7906837463379,32.0189971923828,38.7849426269531,54.7658271789551,33.1299247741699,31.8338356018066,33.7744026184082,NaN,NaN,NaN,52.157901763916,NaN,NaN,78.0960006713867,23.1162204742432,58.3741073608398,NaN,40.6148147583008,23.9530124664307,13.7499122619629,35.3218994140625,35.3309516906738,28.874044418335,28.5487899780273,NaN,NaN,21.8455505371094,NaN,24.9005508422852,19.021879196167,13.3302202224731,25.0911636352539,33.636962890625,40.8354949951172,36.749584197998,34.3481521606445,32.4258346557617,52.3491363525391,NaN,NaN,NaN,NaN,28.6547412872314,27.3698425292969,NaN,33.1856689453125,NaN,NaN,46.2024002075195,NaN,16.941499710083,NaN,30.3219032287598,NaN,21.5060348510742,NaN,NaN,NaN,24.7272167205811,26.6287822723389,NaN,31.6573886871338,NaN,19.3861808776855,33.8993453979492,41.1191139221191,54.7658271789551,33.1299247741699,31.8338356018066,33.7744026184082,NaN,NaN,NaN,2,2,1275.98233591911,4
