,a,a_std,t,t_std,v(0),v(1),v_std,z_std,z_trans,v_bias
0,5.63060874347524,1.7861657983394312,0.03751226121563062,0.11664322751779105,5.374605050738514,5.246177048297462,1.6090476256652588,0.2670325124242805,-0.21479742603342117,-0.12842800244105135
1,5.250430795825059,1.3469507417817161,0.03127822228587708,0.11664649250506362,5.862816643226824,5.006384164602162,1.913046423815097,0.204490633851321,-0.1292511064256353,-0.8564324786246624
2,5.362610853319297,1.7021983957482736,0.011570702197800398,0.12466041671558482,6.043811717546942,5.108145458674373,1.5402945845819205,0.16483739671229208,-0.14409657371616993,-0.935666258872569
3,4.973608735198851,1.2630659273231677,0.0364187449340153,0.10248425131485742,5.800317261419697,5.379392807757158,1.6330547633882522,0.16234085349333716,-0.09749439079538372,-0.42092445366253894
4,4.799288843513136,1.647210565083395,0.046626851788718275,0.10158146200973193,5.337610073675282,5.228429871042512,1.4916735220840645,0.23015582943198157,-0.11062852628830395,-0.10918020263276951
5,5.074984320795514,1.613630601504834,0.022773169067230016,0.11751993977772124,5.25191935377803,4.866571789656289,1.5881552682459659,0.12695306508357573,-0.15095371335747065,-0.38534756412174076
6,4.621694173278326,1.4740366160011376,0.023651784142003373,0.10909504163057976,5.4092099496687505,5.583982956731281,1.6699344345403624,0.16922817203295512,-0.13527483917334676,0.17477300706253018
7,5.026467779836536,1.7537711778300364,0.04558041993458413,0.08772047093622602,5.8018757976787825,4.933065546248028,1.3772108672137369,0.1975357947216071,-0.20973511967318365,-0.8688102514307543
8,4.850551062983794,1.799740749675343,0.03423250737903889,0.09409279394908457,5.948646125748381,5.752165046125072,1.4493994606859755,0.16941890103793636,-0.16067043559155633,-0.1964810796233083
9,4.859528216058896,1.6242566687979845,0.04351037054552122,0.10768031140182413,5.622287691252279,4.867707606317151,1.5251137534431862,0.1818015339942752,-0.19132288807827116,-0.7545800849351272
10,5.072298978048231,1.5743771942457034,0.04835748052593386,0.10922283582050218,4.9989791385116,5.911346867027454,1.7494646066372386,0.1730745531940237,-0.08408639819525665,0.9123677285158545
11,4.907944364729802,1.5208903694970013,0.08075138133990616,0.10796313576124925,5.708950933345187,5.435320729666113,1.6918969510046964,0.16086187377926175,-0.14515077368946952,-0.2736302036790734
12,5.0497500553454815,1.5242290443324764,0.08103657811773901,0.07051987648193304,5.752235817170194,5.022100117060402,1.363969508992914,0.16541809186732293,-0.1556502169999616,-0.7301357001097921
13,5.185349482401577,1.582693959421082,0.06823750522710673,0.07394973471365524,6.0042045526475265,5.079340859935749,1.488924403808829,0.16007221732797625,-0.1520266120534792,-0.9248636927117779
14,5.209499123495737,1.593980170380707,0.06940298050464656,0.10337111779517122,5.9467422759516415,4.662017984346194,1.7621325511322583,0.19582749176295206,-0.09169229063312653,-1.284724291605447
15,5.124407992889512,1.3709497502035466,0.021432018571755404,0.10509047510644783,5.949280598526721,5.343053237881182,1.4501184010584698,0.1498965443232907,-0.09569473619443006,-0.6062273606455397
16,5.237765301634731,1.3400867845938078,0.05159980202784499,0.08285931589219697,6.366019046535896,5.152911782231868,1.6810956486825586,0.17340002608015848,-0.134438513993501,-1.2131072643040275
17,5.115369067964703,2.180870198544093,0.09071611807722149,0.07047780098172389,5.757314025390896,5.379037218913792,1.6514651312395743,0.20450912069851623,-0.14160853640982737,-0.3782768064771034
18,4.666800941914783,1.3447014223364817,0.08850221508995536,0.061601668407724346,5.578710286513039,5.0745872055758,1.4892313211067696,0.20933214708940495,-0.18878982246447584,-0.504123080937239
19,5.2806811769624975,1.4640935823321846,0.08334171157995278,0.09828536731487571,5.541595841297775,5.397802078379106,1.5310389954527088,0.2189108088674116,-0.08621087199164676,-0.1437937629186683
20,5.071041177685135,1.5322263007246484,0.019530417464386586,0.09831414254311636,5.985308310306875,5.108358763870911,1.6257551313756329,0.18912225130417237,-0.17525910016960786,-0.8769495464359638
21,4.984806174454467,1.8244712228077706,0.061842374169045165,0.09924147958819837,6.128852694290171,5.753056215445358,1.8268252343573652,0.15547144760955017,-0.10796835937186436,-0.37579647884481293
22,5.1543693679855815,1.3100826128861864,0.041536586569549505,0.09394916967470618,6.275273708900075,6.174081312692442,1.5910959608738162,0.19422822039182075,-0.1409499432706503,-0.1011923962076331
23,4.857400107147426,2.1231496245794093,0.024358522506991095,0.11551261050808322,6.063566089964878,5.804458177117498,1.6839776846197212,0.16052243700361912,-0.08210643787863203,-0.2591079128473801
24,4.931490678190801,1.2525616073907446,0.015189766945398595,0.1140811216652667,5.294128131539693,5.3360022431830005,1.5254356575290342,0.1949222831694952,-0.168960201853833,0.0418741116433079
25,5.163906031125147,1.2612715201712685,0.047354333529587886,0.11746475853286852,5.270829242115413,5.045316967395178,1.663144298735649,0.171138446275818,-0.08805239588878913,-0.22551227472023516
26,5.074941593872396,1.378898950782903,0.013324844130729799,0.11518277497775674,5.518794307257944,5.245958327945911,1.6941631172430132,0.16598757152015503,-0.1811315512312325,-0.27283597931203296
27,5.295254972550138,1.5365175318370552,0.03391132747910785,0.09854246955628564,5.862932667313461,5.121628682963079,1.3050966080796003,0.21537004771432786,-0.12628981735412373,-0.7413039843503819
28,4.995083306010738,1.425450522326377,0.012376687760774635,0.08926281181736989,5.842761225233995,5.552508892389695,1.2955878629045872,0.1881766267709047,-0.06640348984309,-0.2902523328443003
